               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,             0.09491,            0.073195,            0.063173,           0.0028816,             0.15429,            0.014339,           0.0017204,            0.089239,            0.051332,            0.062274,            0.006535,            0.006535,            0.006535
                  37,            0.094156,            0.076744,            0.062881,           0.0028169,             0.15429,           0.0095984,           0.0012447,            0.088973,            0.051369,             0.06226,            0.006436,            0.006436,            0.006436
                  38,            0.095488,            0.073471,            0.062918,           0.0028323,             0.15429,           0.0077638,           0.0010486,            0.088701,            0.051381,            0.062251,            0.006337,            0.006337,            0.006337
                  39,            0.093517,            0.076938,             0.06261,           0.0028145,             0.15429,           0.0063297,          0.00090039,            0.088425,            0.051405,             0.06224,            0.006238,            0.006238,            0.006238
                  40,            0.093837,            0.074265,            0.063058,           0.0027771,             0.15429,           0.0066106,           0.0009274,            0.088154,            0.051426,            0.062236,            0.006139,            0.006139,            0.006139
                  41,            0.095394,            0.074627,            0.062624,           0.0034407,             0.25429,            0.038895,           0.0042235,            0.087954,            0.051379,            0.062227,             0.00604,             0.00604,             0.00604
                  42,            0.093271,            0.070102,            0.062773,           0.0034013,             0.25429,            0.030338,           0.0033683,            0.087663,            0.051355,            0.062221,            0.005941,            0.005941,            0.005941
                  43,            0.094017,            0.079038,            0.062834,           0.0033848,             0.25429,            0.025378,           0.0028762,            0.087334,            0.051318,            0.062218,            0.005842,            0.005842,            0.005842
                  44,            0.094272,            0.077992,            0.063069,           0.0033631,             0.25429,            0.016406,           0.0019764,            0.087256,            0.051198,            0.062206,            0.005743,            0.005743,            0.005743
                  45,            0.092887,            0.069246,            0.062845,           0.0033961,             0.25429,            0.014437,           0.0017215,            0.087037,            0.051091,            0.062207,            0.005644,            0.005644,            0.005644
                  46,            0.093592,            0.074176,            0.063012,           0.0033663,             0.25429,            0.010342,           0.0013134,            0.086524,            0.050841,            0.062233,            0.005545,            0.005545,            0.005545
                  47,            0.091324,            0.071607,            0.062771,           0.0039359,             0.26857,            0.010186,           0.0013531,            0.086114,            0.050709,            0.062259,            0.005446,            0.005446,            0.005446
                  48,            0.092801,            0.069861,            0.062953,           0.0040042,             0.26286,            0.012524,           0.0016297,            0.085934,            0.050514,             0.06223,            0.005347,            0.005347,            0.005347
                  49,             0.09351,            0.074331,            0.062807,           0.0043706,             0.31286,            0.015788,           0.0019609,            0.085643,            0.050188,            0.062228,            0.005248,            0.005248,            0.005248
                  50,            0.092614,            0.067813,            0.062553,           0.0043374,             0.31286,            0.017615,           0.0021395,            0.085318,            0.049758,            0.062221,            0.005149,            0.005149,            0.005149
                  51,            0.091848,            0.061368,             0.06269,           0.0065674,             0.40048,            0.026321,           0.0034533,            0.084612,            0.049018,            0.062216,             0.00505,             0.00505,             0.00505
                  52,            0.093369,            0.070431,            0.062568,              0.0076,             0.43952,            0.032158,           0.0084828,            0.083971,            0.047446,            0.062254,            0.004951,            0.004951,            0.004951
                  53,            0.092095,            0.060046,            0.062706,           0.0081309,             0.43524,            0.042209,            0.012514,            0.083441,            0.045702,            0.062228,            0.004852,            0.004852,            0.004852
                  54,             0.09123,            0.064623,            0.062738,            0.013423,             0.78381,            0.051543,            0.019411,            0.083078,            0.043463,            0.062234,            0.004753,            0.004753,            0.004753
                  55,            0.092094,            0.059694,            0.062453,            0.012549,             0.75048,            0.062965,            0.021958,            0.082751,            0.041059,            0.062261,            0.004654,            0.004654,            0.004654
                  56,            0.092434,             0.06447,            0.062296,            0.013485,             0.53381,            0.052666,            0.017852,            0.082429,            0.039358,            0.062293,            0.004555,            0.004555,            0.004555
                  57,            0.091613,            0.062947,            0.062054,             0.11482,             0.33709,            0.049977,            0.018744,             0.08193,             0.03818,            0.062314,            0.004456,            0.004456,            0.004456
                  58,            0.090892,            0.061573,            0.062251,            0.017226,             0.30333,            0.082417,            0.031294,            0.081265,            0.037101,            0.062235,            0.004357,            0.004357,            0.004357
                  59,              0.0911,            0.055033,            0.062042,             0.11813,             0.30333,            0.057963,            0.022885,            0.081118,            0.036724,            0.062355,            0.004258,            0.004258,            0.004258
                  60,            0.089614,            0.062206,            0.062319,            0.012685,             0.32333,            0.043626,            0.015732,            0.081465,            0.037571,             0.06237,            0.004159,            0.004159,            0.004159
                  61,            0.089574,            0.058703,            0.062098,            0.014545,             0.61476,            0.031476,           0.0086673,            0.083864,            0.044722,            0.062506,             0.00406,             0.00406,             0.00406
                  62,            0.089301,            0.057825,            0.062151,             0.01322,             0.66476,             0.03495,           0.0084818,            0.083588,            0.044943,            0.062451,            0.003961,            0.003961,            0.003961
                  63,            0.090803,            0.049435,             0.06214,             0.12117,             0.18429,            0.049188,            0.015988,            0.088609,            0.079354,            0.062602,            0.003862,            0.003862,            0.003862
                  64,            0.086571,            0.052635,            0.061493,             0.57073,             0.18429,            0.054704,            0.017317,            0.088052,            0.083209,              0.0626,            0.003763,            0.003763,            0.003763
                  65,            0.087742,            0.052799,             0.06182,             0.26418,             0.26524,            0.057291,            0.015732,            0.084454,            0.068129,            0.062525,            0.003664,            0.003664,            0.003664
                  66,            0.085235,            0.053071,             0.06184,             0.27591,             0.31524,            0.049327,            0.014164,            0.084673,            0.078794,             0.06254,            0.003565,            0.003565,            0.003565
                  67,            0.086495,            0.053256,            0.061808,            0.062489,             0.36048,            0.043818,            0.010315,            0.085181,            0.083381,            0.062533,            0.003466,            0.003466,            0.003466
                  68,            0.086758,            0.051964,            0.061563,             0.16724,             0.32952,            0.048238,             0.01072,            0.085368,            0.084863,            0.062518,            0.003367,            0.003367,            0.003367
                  69,            0.087018,            0.047461,            0.061767,            0.048325,             0.41381,            0.060795,            0.015373,            0.084721,            0.065211,            0.062331,            0.003268,            0.003268,            0.003268
                  70,            0.084594,            0.050732,            0.061542,            0.020291,             0.41381,            0.060222,            0.015449,            0.083316,            0.051044,            0.062133,            0.003169,            0.003169,            0.003169
                  71,            0.083708,            0.048492,             0.06155,            0.025966,             0.53143,            0.058617,            0.012683,            0.079998,            0.037314,            0.061875,             0.00307,             0.00307,             0.00307
                  72,            0.086343,            0.048685,            0.061628,            0.023413,             0.52506,            0.052036,            0.011968,            0.079349,            0.038291,            0.061854,            0.002971,            0.002971,            0.002971
                  73,             0.08371,            0.047229,             0.06154,            0.022691,             0.63048,             0.05533,            0.013259,            0.079771,            0.039427,            0.061821,            0.002872,            0.002872,            0.002872
                  74,            0.083969,            0.049416,            0.061438,            0.030435,             0.70476,            0.068564,            0.016185,            0.076755,            0.032309,            0.061637,            0.002773,            0.002773,            0.002773
                  75,             0.08186,            0.046705,            0.061446,            0.023785,             0.70286,             0.04924,            0.010617,            0.079755,            0.038866,            0.061717,            0.002674,            0.002674,            0.002674
                  76,            0.080718,             0.04887,            0.061379,             0.03023,              0.7981,             0.05903,            0.013048,             0.07849,            0.035649,            0.061634,            0.002575,            0.002575,            0.002575
                  77,             0.08217,            0.050554,            0.061554,            0.031116,             0.70476,            0.093055,            0.021537,            0.075451,            0.031851,            0.061525,            0.002476,            0.002476,            0.002476
                  78,            0.080843,            0.049446,            0.061449,             0.03256,             0.75238,            0.097627,            0.021559,            0.075427,            0.033345,            0.061521,            0.002377,            0.002377,            0.002377
                  79,            0.080982,            0.048832,            0.061373,            0.022425,             0.72381,            0.082255,            0.023969,            0.078403,            0.038002,             0.06154,            0.002278,            0.002278,            0.002278
                  80,            0.082635,            0.046543,            0.061521,            0.031973,             0.83238,            0.091706,            0.031013,            0.075983,            0.035273,            0.061478,            0.002179,            0.002179,            0.002179
                  81,            0.079892,            0.046092,            0.061473,            0.031457,             0.87238,            0.091501,            0.032106,            0.076388,            0.035566,            0.061448,             0.00208,             0.00208,             0.00208
                  82,            0.081008,            0.049101,              0.0613,            0.038856,             0.61238,            0.093617,            0.029397,            0.073615,            0.031172,            0.061388,            0.001981,            0.001981,            0.001981
                  83,              0.0796,             0.04627,            0.060986,            0.032625,             0.72571,            0.098134,            0.032001,            0.073772,            0.031587,            0.061368,            0.001882,            0.001882,            0.001882
                  84,            0.080027,            0.048051,            0.061116,            0.034905,             0.82966,             0.11456,            0.036949,            0.074811,            0.032899,            0.061347,            0.001783,            0.001783,            0.001783
                  85,             0.07997,            0.046462,            0.061535,            0.027272,             0.96571,            0.081402,            0.031605,            0.076724,             0.03502,            0.061319,            0.001684,            0.001684,            0.001684
                  86,            0.079604,            0.048096,            0.061226,            0.043917,             0.78222,            0.097664,            0.036497,             0.07448,            0.032504,            0.061298,            0.001585,            0.001585,            0.001585
                  87,            0.078394,            0.048407,            0.060976,            0.040142,             0.82667,              0.1027,            0.035776,            0.074958,            0.033553,            0.061277,            0.001486,            0.001486,            0.001486
                  88,            0.078895,            0.050017,            0.061218,            0.032311,             0.29393,            0.082322,            0.031903,            0.076502,            0.035447,            0.061265,            0.001387,            0.001387,            0.001387
                  89,            0.078798,            0.047048,            0.061194,            0.042775,             0.38371,            0.080874,            0.031183,            0.077331,            0.036669,            0.061258,            0.001288,            0.001288,            0.001288
                  90,            0.078065,            0.048042,            0.060994,            0.039246,             0.55905,            0.092585,            0.033811,            0.075659,            0.034538,            0.061239,            0.001189,            0.001189,            0.001189
                  91,            0.079281,            0.047899,            0.060741,            0.036934,             0.55905,            0.089573,            0.033274,             0.07622,            0.035246,            0.061229,             0.00109,             0.00109,             0.00109
                  92,            0.080188,             0.04866,            0.061189,            0.034828,             0.59238,            0.082004,            0.029846,            0.077322,            0.036911,            0.061215,            0.000991,            0.000991,            0.000991
                  93,            0.076934,            0.045794,            0.060896,            0.039187,             0.68469,            0.091054,             0.03082,            0.076658,            0.036174,            0.061204,            0.000892,            0.000892,            0.000892
                  94,            0.078494,            0.045843,            0.061359,            0.040298,             0.73483,             0.10305,            0.035396,            0.075979,            0.035442,            0.061197,            0.000793,            0.000793,            0.000793
                  95,            0.077716,             0.05019,            0.061122,            0.033001,                0.98,             0.12031,            0.038988,            0.075416,            0.034828,            0.061192,            0.000694,            0.000694,            0.000694
                  96,            0.077449,             0.04839,             0.06091,            0.036512,                   1,             0.12771,            0.040662,            0.074513,            0.033872,            0.061192,            0.000595,            0.000595,            0.000595
                  97,            0.076875,            0.045174,            0.060766,            0.036489,             0.98922,             0.13019,            0.041472,            0.074177,            0.033631,            0.061188,            0.000496,            0.000496,            0.000496
                  98,            0.077938,            0.046282,            0.061175,            0.035849,                0.98,             0.13535,            0.041911,            0.073929,            0.033555,             0.06119,            0.000397,            0.000397,            0.000397
                  99,            0.078806,            0.047189,            0.061091,            0.034857,                0.98,             0.12919,            0.043253,            0.073576,            0.033309,            0.061195,            0.000298,            0.000298,            0.000298
